VCD info: dumpfile alu.vcd opened for output.
tiempo=560 A=0011 B=1000 c_in=0 L=0 OP=00 R=0011, Z=0, C=0, S=0. ---- OK
tiempo=570 A=0011 B=1001 c_in=0 L=0 OP=00 R=0011, Z=0, C=0, S=0. ---- OK
tiempo=580 A=0011 B=1010 c_in=0 L=0 OP=00 R=0011, Z=0, C=0, S=0. ---- OK
tiempo=590 A=0011 B=1011 c_in=0 L=0 OP=00 R=0011, Z=0, C=0, S=0. ---- OK
tiempo=600 A=0011 B=1100 c_in=0 L=0 OP=00 R=0011, Z=0, C=0, S=0. ---- OK
tiempo=610 A=0011 B=1101 c_in=0 L=0 OP=00 R=0011, Z=0, C=0, S=0. ---- OK
tiempo=620 A=0011 B=1110 c_in=0 L=0 OP=00 R=0011, Z=0, C=0, S=0. ---- OK
tiempo=630 A=0011 B=1111 c_in=0 L=0 OP=00 R=0011, Z=0, C=0, S=0. ---- OK
tiempo=640 A=0100 B=0000 c_in=0 L=0 OP=00 R=0100, Z=0, C=0, S=0. ---- OK
tiempo=650 A=0100 B=0001 c_in=0 L=0 OP=00 R=0100, Z=0, C=0, S=0. ---- OK
tiempo=660 A=0100 B=0010 c_in=0 L=0 OP=00 R=0100, Z=0, C=0, S=0. ---- OK
tiempo=670 A=0100 B=0011 c_in=0 L=0 OP=00 R=0100, Z=0, C=0, S=0. ---- OK
tiempo=680 A=0100 B=0100 c_in=0 L=0 OP=00 R=0100, Z=0, C=0, S=0. ---- OK
tiempo=690 A=0100 B=0101 c_in=0 L=0 OP=00 R=0100, Z=0, C=0, S=0. ---- OK
tiempo=700 A=0100 B=0110 c_in=0 L=0 OP=00 R=0100, Z=0, C=0, S=0. ---- OK
tiempo=710 A=0100 B=0111 c_in=0 L=0 OP=00 R=0100, Z=0, C=0, S=0. ---- OK
tiempo=720 A=0100 B=1000 c_in=0 L=0 OP=00 R=0100, Z=0, C=0, S=0. ---- OK
tiempo=730 A=0100 B=1001 c_in=0 L=0 OP=00 R=0100, Z=0, C=0, S=0. ---- OK
tiempo=740 A=0100 B=1010 c_in=0 L=0 OP=00 R=0100, Z=0, C=0, S=0. ---- OK
tiempo=750 A=0100 B=1011 c_in=0 L=0 OP=00 R=0100, Z=0, C=0, S=0. ---- OK
tiempo=760 A=0100 B=1100 c_in=0 L=0 OP=00 R=0100, Z=0, C=0, S=0. ---- OK
tiempo=770 A=0100 B=1101 c_in=0 L=0 OP=00 R=0100, Z=0, C=0, S=0. ---- OK
tiempo=780 A=0100 B=1110 c_in=0 L=0 OP=00 R=0100, Z=0, C=0, S=0. ---- OK
tiempo=790 A=0100 B=1111 c_in=0 L=0 OP=00 R=0100, Z=0, C=0, S=0. ---- OK
tiempo=800 A=0101 B=0000 c_in=0 L=0 OP=00 R=0101, Z=0, C=0, S=0. ---- OK
tiempo=810 A=0101 B=0001 c_in=0 L=0 OP=00 R=0101, Z=0, C=0, S=0. ---- OK
tiempo=820 A=0101 B=0010 c_in=0 L=0 OP=00 R=0101, Z=0, C=0, S=0. ---- OK
tiempo=830 A=0101 B=0011 c_in=0 L=0 OP=00 R=0101, Z=0, C=0, S=0. ---- OK
tiempo=840 A=0101 B=0100 c_in=0 L=0 OP=00 R=0101, Z=0, C=0, S=0. ---- OK
tiempo=850 A=0101 B=0101 c_in=0 L=0 OP=00 R=0101, Z=0, C=0, S=0. ---- OK
tiempo=860 A=0101 B=0110 c_in=0 L=0 OP=00 R=0101, Z=0, C=0, S=0. ---- OK
tiempo=870 A=0101 B=0111 c_in=0 L=0 OP=00 R=0101, Z=0, C=0, S=0. ---- OK
